City,Country,Date,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Wind_Speed
Jakarta,Indonesia,2024-08-08,86.6,38.7,51.9,4.37,19.1,62.5,4.5,38.6,82.4,3.6
São Paulo,Brazil,2021-05-13,89.6,52.4,90.6,0.33,9.4,51.5,8.1,-2.9,93.0,3.9
Lima,Peru,2022-06-27,30.7,21.3,34.7,4.34,7.2,47.0,1.6,37.4,62.2,6.1
Seoul,South Korea,2022-02-25,129.6,60.8,89.3,3.51,28.8,70.0,8.7,12.6,33.7,11.5
Lima,Peru,2024-06-23,84.7,34.7,65.5,2.41,15.2,75.6,10.4,9.7,62.8,8.1
Lima,Peru,2021-06-01,33.2,21.7,39.5,2.84,7.2,77.9,3.7,7.4,42.2,2.9
Ho Chi Minh City,Vietnam,2022-01-12,109.7,44.1,82.4,3.62,27.0,66.3,6.3,11.1,28.7,13.0
Mumbai,India,2017-02-18,198.4,99.0,133.1,1.76,32.7,63.8,22.6,34.9,55.4,2.2
London,UK,2022-05-14,55.8,35.3,58.0,2.76,10.4,21.5,3.4,-3.6,67.7,5.1
Dhaka,Bangladesh,2019-10-24,221.1,97.7,168.3,2.84,31.1,76.6,24.3,26.3,86.0,9.6
Lima,Peru,2023-05-19,82.7,37.7,72.6,2.83,21.6,73.8,6.8,-0.0,37.1,6.7
Stockholm,Sweden,2017-08-30,39.4,26.0,33.9,2.7,,33.3,2.4,10.2,90.7,5.2
Bangkok,Thailand,2024-01-18,80.1,38.2,56.2,3.57,19.4,28.9,12.0,7.0,93.2,6.5
Johannesburg,South Africa,2019-10-26,85.6,57.6,84.5,0.98,16.9,79.1,6.4,25.2,,3.9
Cairo,Egypt,2021-05-16,140.7,73.1,136.8,4.05,18.3,50.5,16.8,,44.4,3.7
Seoul,South Korea,2020-06-09,84.3,54.2,83.7,0.75,24.3,43.9,8.6,32.7,70.7,11.2
Toronto,Canada,2021-01-07,96.2,45.1,64.1,4.92,19.6,35.6,14.4,38.4,61.9,13.3
Johannesburg,South Africa,2020-08-18,101.9,49.3,88.2,4.28,27.6,44.3,14.1,33.3,90.2,11.9
Mumbai,India,2015-09-11,185.2,112.5,197.7,1.35,44.9,34.2,15.3,28.6,68.7,12.8
Tokyo,Japan,2016-10-01,23.5,13.4,18.3,2.03,3.6,34.6,3.5,12.7,86.9,9.7
Beijing,China,2024-03-02,242.0,132.6,190.5,3.7,37.8,21.5,27.7,3.0,90.5,14.3
Nairobi,Kenya,2022-01-09,82.8,42.3,55.5,4.66,15.4,78.0,12.1,33.4,42.1,6.1
Johannesburg,South Africa,2018-03-30,62.2,35.3,69.0,3.57,13.3,25.8,6.9,39.6,30.5,8.0
Beijing,China,2017-02-23,144.6,94.7,132.1,3.63,30.4,37.8,13.3,6.5,65.9,1.7
Jakarta,Indonesia,2015-02-05,137.1,83.7,155.5,4.48,23.0,42.5,8.1,21.0,22.7,7.3
